Item name,Supplier,Supplier code,Item size,Item Unit of Measure,€ Price per unit (excluding VAT),Tax rate
0.0% Heineken 330Ml,Vagawond,61030,1,ea,28.79,23.0%
0.0% Tanqueray Gin 70Cl,Vagawond,11381,700,ml,92.97,23.0%
20 Litre Buckets Vegetable Oil Ireland,Farringtons Brewery,20LTRBKTS,20000,ml,43.00,0.0%
7Up 200Ml Nrb X 24,Catering Providers,2005797,24,ea,12.95,23.0%
7Up Free 200Ml Nrb X 24,Catering Providers,2003874,24,ea,12.95,23.0%
7Up Reg 200Ml Nrb,Vagawond,1005,1,ea,13.78,23.0%
Acqua Panna Still Glass 1Ltr X 12,Catering Providers,2073990,1,ea,17.95,23.0%
Acqua Panna Still Glass 750Ml X 12,Catering Providers,2050052,750,ml,16.50,23.0%
Affilia Lettuce Irish,Vegetable Nation,LAI01,1,ea,10.50,
Airtight 1/1 150Mm G/N Container C/W Lid 1X1 Ea,Sysco,490888,1,ea,29.10,23%
Airtight 1/2 150Mm G/N Container C/W Lid 1X1 Ea,Sysco,490890,1,ea,25.92,23%
All Purpose Blue J Cloth 1X50 Ea,Sysco,497155,50,ea,6.55,23%
Almonds Ground 1Kg,Brokes Food,744006,ads,g,6.63,0.0%
Alsace - Black Lard Smoked (1Kg-2Kg) Kilo,Vegetable Nation,16037,1000,g,19.85,0%
Alumbrada Tempranillo Red 75Cl 12.5%,Vagawond,11166,750,ml,40.00,23.0%
Alumbrada Verdejo White 75Cl 11.5%,Vagawond,11167,750,ml,40.00,23.0%
"Ambroise, Nuits-St-Georges Rouge 2020",Le Caveau,LCBU62D1,750,ml,211.80,23%
Anchovies Fillets In Oil Skin-On (1Kg),Vegetable Nation,,1000,g,16.80,
Angostura Aromatic Bitters 20Cl 44.7%,Vagawond,3059,200,ml,180.00,23.0%
Angostura Orange Bitters 100Ml 28%,Catering Providers,2061778,100,ml,9.12,23.0%
Antica Formula 1Lt 16.5%,Vagawond,991076,1000,ml,203.05,23.0%
Antigua Led Cordless Lamp 30Cm Corten,Catering Providers,77778710,1,ea,75.99,23.0%
Aperol 700Ml,Catering Providers,2260612,700,ml,12.95,23.0%
Aperol Aperitif 70Cl 11%,Vagawond,1299,700,ml,114.79,23.0%
Apple Balsamic Vinegar David Llewellyn,Artisan Foods,,750,ml,23.50,
Apple G. Del Tray 6Pk,Vegetable Nation,AGD04E,6,ea,3.85,0.0%
Apple Granny Smith Each,Brokes Food,101100,1,ea,0.40,0.0%
Apple Green Tray 6Pk,Vegetable Nation,AGS03E,6,ea,3.00,0.0%
Apple Juice 1Ltr X 12,Catering Providers,1460897,1000,ml,12.88,23.0%
Aqua Panna Still 750Ml X 12,Vagawond,11444,750,ml,13.50,23.0%
Arbequina Extra Virgin Oil 2 Ltr,Artisan Foods,,2000,ml,39.50,0.0%
Archers Peach Schnapps 700Ml,Catering Providers,ARCH003,sdfsd,ml,15.25,0%
Arjolle Zero Alcohol Sauvignon Viognier,O'Briens Wines,31604,2,ea,7.68,23%
Artichoke Jerusalem Each,Brokes Food,168771,1,ea,3.75,0.0%
Asparagus,Brokes Food,41014i,1,ea,4.00,
Asparagus Various 10 X 250 Gm,Brokes Food,41014,250,gm,39.50,
Asparagus White,Vegetable Nation,ASW01,1,ea,79.00,
Astrolabe Kékerengú Coast Sauvignon Blanc B2B,O'Briens Wines,12WNZ001,36,ea,14.00,23%
"Au Bon Climat Wild Boy Chardonnay 2022, 75Cl",Vagawond,109055,750,ml,23.25,23.0%
Aubergine 5Kg,Vegetable Nation,AUB01B,5000,g,14.50,0.0%
Aubergine Each,Vegetable Nation,AUB01E,1,ea,1.65,0.0%
Aubergine Loose Box 5Kg,Brokes Food,AUBL,5000,g,29.95,0.0%
Avacado Ready To Eat 4 Kg,Brokes Food,972219i,4,kg,1.20,
Avocado Haas 8X2,Vegetable Nation,AVH03B,8,ea,23.00,0.0%
Avocado Ready To Eat 18S,Brokes Food,167406,18,ea,25.50,0.0%
B2B Bodegas Caro Petit Caro,O'Briens Wines,30839,30,ea,14.00,23%
B2B Castelnau Aigue Marine Picpoul De Pinet,O'Briens Wines,17WFRA023,12,ea,9.00,23%
B2B Eric Louis Sancerre,O'Briens Wines,11WFRA100,6,ea,17.00,23%
B2B Little Beauty Pinot Noir,O'Briens Wines,15WNZ005,6,ea,17.75,23%
B2B Little Beauty Sauvignon Blanc,O'Briens Wines,15WNZ001,18,ea,13.97,23%
B2B Macon-Lugny Terroirs De Scisse Chardonnay,O'Briens Wines,11WFRA101,6,ea,11.85,23%
B2B Rizzardi Pinot Grigio,O'Briens Wines,16WITA002,24,ea,9.00,23%
B2B Rizzardi Soave,O'Briens Wines,16WITA003,6,ea,9.90,23%
B2B Rizzardi Valpolicella Ripasso,O'Briens Wines,16WITA005,6,ea,14.00,23%
Bacardi 70Cl X 12,Vagawond,853,700,ml,225.00,23.0%
Bacardi Rum 700Ml,Catering Providers,2203896,700,ml,18.50,23.0%
Bacon Rashers Streaky Smoked Crowe'S (2Kg),Vegetable Nation,18036,2000,g,26.90,0%
Bacon Rashers Thick-Cut Crowes (2Kg),Vegetable Nation,18609,2000,g,18.40,
Bactosol Glasswasher Detergent 2X5 Lt,Sysco,119084,5000,ml,45.19,23%
Baileys 1Ltr,Catering Providers,2203309,1000,ml,17.95,23.0%
Baileys 700Ml,Catering Providers,2205843,700,ml,13.95,
Baileys 70Cl X 12,Vagawond,11190,700,ml,178.36,23.0%
Baking Powder (5Kg),Vegetable Nation,33022,5000,g,27.80,0%
Ballymaloe Cranberry Sauce (3Kg),Vegetable Nation,22106,3000,g,22.50,0%
Bamboo Skewers 20Cm (X100),Vegetable Nation,26263,100,ea,1.55,23%
Banana 5S,Brokes Food,183976,5,ea,1.15,0.0%
Banana Bag 6Pk,Vegetable Nation,BAB02E,6,ea,1.80,0.0%
Bay Leaf Bag,Vegetable Nation,BAL01E,50,g,1.12,0.0%
Beans Dried- Haricot Blancs / Cocoa (5Kg),Vegetable Nation,32025,5000,g,16.00,0%
Beef Fat,Meat Supply,,1000,g,0.85,0.0%
Beef Fillet,Meat Supply,,1000,g,35.00,0.0%
Beef Short Rib (Jacob'S Ladder)(9Kg),Vegetable Nation,18069,9000,g,8.85,0%
Beetroot Baby Irish 40Pcs,Vegetable Nation,BBI01B,40,ea,18.95,0.0%
Beetroot Baby Mix 40Pc,Vegetable Nation,BBM01B,40,ea,19.95,0.0%
Beetroot Baby Red Box 40S,Brokes Food,206373,40,ea,18.65,0.0%
Beetroot Candy 1Kg,Vegetable Nation,BEC07E,1000,g,3.00,0.0%
Beetroot Candy Baby Irish 40Pcs,Vegetable Nation,BCB02B,40,ea,19.95,0.0%
Beetroot Cooked 500G,Vegetable Nation,BEC03E,500,g,1.80,0.0%
Beetroot Fresh 5Kg,Vegetable Nation,BEF03B,5000,g,12.50,0.0%
Beetroot Golden,Vegetable Nation,BEG02E,1000,g,3.00,0.0%
Beetroot Golden 1Kg,Brokes Food,206380,1000,g,2.81,0.0%
Beetroot Loose Bag 5Kg,Brokes Food,206077,5000,g,12.13,0.0%
Berthas Revenge Small Batch Milk Gin 70Cl 42%,Vagawond,251001,700,ml,209.58,23.0%
"Billecart-Salmon Brut Reserve Nv, 75Cl",Vagawond,100392,750,ml,48.83,23.0%
"Bincho Japanese Charcoal 10Kg, Case",Fine Foods,110.500.013,10000,g,37.00,13.5%
Black Bush 70Cl 40%,Vagawond,833,700,ml,132.00,23.0%
Black Cocktail Napkin X 2000,Catering Providers,4561556,2000,ea,28.27,23.0%
Black Garlic Balsamic Vinegar Of Modena,Odaios Foods,135602,2000,ml,30.63,
Black Rubber Outdoor Gloves Large 1X10 Ea,Sysco,497126,10,ea,34.24,23%
Blackberries Punnet 1 X 125G Each,Brokes Food,165406,125,g,2.75,0.0%
Blackberry & Thyme Balsmaic Vinegar Of Modena,Odaios Foods,135601,2000,ml,30.63,
Blue Centrefeed Roll 2Ply 1X6Ea,Sysco,PD9018,6,ea,19.05,23%
Blue Roll Centre Feed,Brokes Food,742000,6,ea,11.08,23.0%
Blue Roll Centre Feed 2Ply 6 X 400 Sheet,Brokes Food,742017,6,ea,8.72,
Blueberries 125G,Vegetable Nation,BLU01E,125,g,3.20,0.0%
Blueberries Punnet 1 X 125G Each,Brokes Food,168888,125,g,2.99,0.0%
Boatyard Double Gin 70Cl 46%,Vagawond,10869,700,ml,32.50,23.0%
"Boekenhoutskloof Chocolate Block 2022, 75Cl",Vagawond,108987,750,ml,22.00,23.0%
Bols Apricot Brandy 700Ml,Catering Providers,2205847,700,ml,17.95,
Bombay Sapphire Gin 700Ml,Catering Providers,2203322,700,ml,21.00,23.0%
Bonemaster Chicken Jus- Natural -Reduced (1Kg) Iqf,Vegetable Nation,17210,1000,g,24.80,
Bonemaster Chicken Stock - Natural (2Kg) Lqf 17210,Vegetable Nation,,2000,g,19.80,
Bonemaster Veal Glaze/Jus Natural Reduced(1Kg) Iqf,Vegetable Nation,17212,1000,g,22.95,0%
Bonito Flakes 500G,Artisan Foods,,500,g,69.95,0.0%
Bonito Flakes Dried & Smoked (Katsuobushi) (500G),Vegetable Nation,,500,g,56.45,
Boulaban Vanilla Ice Cream (2X2.5Ltr),Vegetable Nation,90390,2500,ml,28.95,23%
Brakes Essential Toilet Cleaner 6X1 Lt,Sysco,136391,1000,g,18.63,23%
Brakes Essentials Oven Cleaner 6X750Ml,Sysco,136377,750,ml,22.20,23%
Brakes Essentials Washing Up Liqiuid 2X5Lt ,Sysco,136373,5000,ml,9.99,23%
Brandy Cooking (2Ltr) **R.O.I. Only,Vegetable Nation,88000,2000,ml,9.90,0%
Bread: Brioche Loaf Fully- Baked (340G-365G X6),Vegetable Nation,92063,6,ea,26.90,0%
Bread: English Breakfast Muffins (48X72G),Vegetable Nation,33079,72,g,15.90,0%
Breadcrumbs Panko 12Kg,Brokes Food,703015,12,kg,27.78,
Brisket Flat,Meat Supply,,1000,g,9.80,0.0%
Britvic Orange 200Ml Nrb X 24,Catering Providers,2005741,24,ea,19.34,23.0%
Britvic Orange Nr,Vagawond,10505,1,ea,19.89,23.0%
Britvic Pineapple 200Ml Nrb X 24,Catering Providers,1414385,24,ea,18.69,23.0%
Britvic Tomato Juice 200Ml Nrb X 24,Catering Providers,1461980,200,ml,,
Broad Beans Frozen (2.5Kg),Vegetable Nation,25017,2500,g,8.95,
Broccoli Sweet Stem 4X500G,Vegetable Nation,BTS01B,500,g,16.00,0.0%
Broccoli Tenderstem,Brokes Food,209092,200,g,21.95,0.0%
Bulleit Bourbon 700Ml 45%,Catering Providers,2261375,700,ml,34.95,23.0%
Bulleit Bourbon 70Cl 45%,Vagawond,1220,700,ml,181.04,23.0%
Bulleit Rye 700Ml,Catering Providers,2261376,700,ml,39.95,23.0%
Bulliet Rye 70Cl 45%,Vagawond,1269,700,ml,232.33,23.0%
Butermilk 1Ltr,Vegetable Nation,BUT06E,1000,ml,1.00,0.0%
Butter Blocks Unsalted 40 X 227G,Brokes Food,773021,227,g,98.95,0.0%
Butter Puff Pastry On A Roll (4.25Kg),Vegetable Nation,60111,4250,g,39.80,0%
