Menu item name,Name (Ingredient 1),Qty (Ingredient 1),Unit (Ingredient 1),Name (Ingredient 2),Qty (Ingredient 2),Unit (Ingredient 2),Name (Ingredient 3),Qty (Ingredient 3),Unit (Ingredient 3),Name (Ingredient 4),Qty (Ingredient 4),Unit (Ingredient 4)
Bitter Sunset,Cube Ice,100,ea,DBI DEHYDRATED ORANGE SLICES 140G,1,g,CAMPARI 70cl 25%,30.00,ml,APEROL 700ML,30.00,ml
Negroni,Cube Ice,1,ea,DBI DEHYDRATED ORANGE SLICES 140G,1,g,ANGOSTURA ORANGE BITTERS 100ML 28%,1.84,ml,,,
Raspberry & Ginger Smash,Cube Ice,4,ea,DBI DEHYDRATED LIME SLICES 140G,2,g,TEISSEIRE SYRUP RASPBERRY FRUIT 1LT,25.00,ml,FINEST CALL LIME JUICE 1LTR DRS,25.00,ml
Almond Blossom Sour,DBI DEHYDRATED LEMON SLICES 110G,2,g,TANQUERAY GIN 0.0 % 700ML,50,ml,MIXER LEMON JUICE 70cl,30.00,ml,TEISSEIRE SYRUP ALMOND 70CL,15.00,ml
Virgin Passion Martini,MSK: Freeze Dried Raspberry Powder (200g),2,g,MIXER PASSION FRUIT PUREE 6X1LT,40,ml,TEISSEIRE SYRUP VANILLA 1LT,10.00,ml,MIXER LIME JUICE 70CL,10.00,ml
Virgin Cosmopolitan,DBI DEHYDRATED BLOOD ORANGES SLICES 150G,2,g,TANQUERAY GIN 0.0 % 700ML,40,ml,BRITVIC ORANGE 200ML NRB X 24,1.00,ea,CRANBERRY JUICE 1LTR X 12,40.00,ml
Irish Coffee Martini,JAMESON 1 LTR 40%,30,ml,BAILEYS 1LTR,2000000,ml,TEISSEIRE SYRUP VANILLA 1LT,10.00,ml,,,
Passion Martini,MSK: Freeze Dried Raspberry Powder (200g),2,g,KETEL ONE VODKA 70CL 40%,40,ml,PASSOA LIQUEuR 700ML X 6,20.00,ml,MIXER PASSION FRUIT PUREE 6X1LT,"2,000.00",ml
Negroni,Cube Ice,1,ea,DBI DEHYDRATED ORANGE SLICES 140G,2,g,TANQUERAY GIN 700ML,30.00,ml,CAMPARI 70cl 25%,30.00,ml
Moscow Mule,Cube Ice,sfsd,ea,DBI DEHYDRATED LIME SLICES 140G,2,g,KETEL ONE VODKA 70CL 40%,50,ml,FINEST CALL LIME JUICE 1LTR DRS,25.00,ml
