recipe_name,missing_ingredient_name
Buttered Asparagus,Scamorza Custard
Foie Gras Torchon,Foie Gras
Beef Tartare,Beef Tartare
House Pappardelle Pasta,Short Rib Ragu
Lamb Assiette,Lamb Loin
Pork Tomahawk,Pork Loin
Beef Fillet,Pomme Anna
Black Sole,Black Sole
Roasted Baby Carrots,Harissa Butter
Skinny Fries,Truffle Aioli
Triple Cooked Chunky Chips,Wild garlic aioli
Grilled Hispi Cabbage,mornay cheese
Tenderstem Broccoli,Ponzu
Colcannon Mash,Colcannon
Jelly and Ice Cream,Cooked Rhubarb
Brown Butter Cake,Brown Butter Cake
Curragh Lamb Rump,Wild Garlic Emulsion
Creole Gumbo,Gumbo Sauce
Dubai Chocolate Dome,Dubai Dome
Buttered Asparagus,Wild Garlic Oil
Foie Gras Torchon,Disaronno Jelly
Beef Tartare,Caper Truffle Dressing
Cured Salmon and Cod Mosiac,Smoked Oyster Emulsion
House Pappardelle Pasta,Pappardelle Pasta
Currach Scallops,Burnt Lime Foam
Lamb Assiette,Herb Crust
Pork Tomahawk,Cheek Croquette
Roasted Sea Bass,Confit Shimeji
Beef Fillet,Short Rib Ragu
Black Sole,Sauce Grenobloise
Grilled Hispi Cabbage,Chimichurri
Jelly and Ice Cream,Rhubarb Jelly
Brown Butter Cake,Salt Ice Cream
Curragh Lamb Rump,Pea & Asparagus
Creole Gumbo,Gumbo Risotto
Dubai Chocolate Dome,Burnt Vanilla Ice Cream
Buttered Asparagus,Hazelnut Dressing
Foie Gras Torchon,Apricot
Beef Tartare,Taramasalata
Cured Salmon and Cod Mosiac,Dashi
House Pappardelle Pasta,Pecorino
Currach Scallops,Kohlrabi Puure
Lamb Assiette,Lamb Croquette
Pork Tomahawk,Pig Belly
Roasted Sea Bass,Miso Broth
Beef Fillet,Onion Puree
Black Sole,Seaweed Potato
Jelly and Ice Cream,Vanilla Custard
Brown Butter Cake,Custard Foam
Curragh Lamb Rump,Lamb Rump
Dubai Chocolate Dome,White Chocolate + Lime Ganache
Buttered Asparagus,Walnut Ketchup
Cured Salmon and Cod Mosiac,Seaweed Gel
Currach Scallops,Pickled Kohlrabbi
Lamb Assiette,Lamb Belly
Pork Tomahawk,Celeriac Puure
Beef Fillet,Sauce Diane
Brown Butter Cake,Poach Pears
Dubai Chocolate Dome,Raspberry Gel
